author,old_author,title,old_title,sub_title,old_sub_title,publisher,old_publisher,publication_date,old_publication_year,old_original_title,old_original_subtitle,old_purchase_date,old_my_rating,image_name,old_cover,old_categories,isbn-13,isbn-10,old_isbn,old_took,old_notes,format,old_print_format,nof_pages,old_read_it,description,old_description,language,language_iso
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 1",Blade of the Immortal 1, Blood of a Thousand,Blood of a Thousand,Dark Horse,Dark Horse Comics,2010-03-16,nan,nan,nan,2016-10-09,0,9781569712399.jpg,https://books.google.ru/books/content?id=vVl1AQAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781569712399,1569712395,9781569712399,nan,nan,Paperback,nan,136,No,"To end his eternal suffering, he must slay one thousand enemies! Manji, a ronin warrior of feudal Japan, has been cursed with immortality. To rid himself of this curse and end his life of misery, he must slay one thousand evil men! His quest begins when a young girl seeks his help in taking revenge on her parents` killers...and his quest won`t end until the blood of a thousand has been spilled!","To end his eternal suffering, he must slay one thousand enemies! Manji, a ronin warrior of feudal Japan, has been cursed with immortality. To rid himself of this curse and end his life of misery, he must slay one thousand evil men! His quest begins when a young girl seeks his help in taking revenge on her parents' killers . . . and his quest won't end until the blood of a thousand has spilled!",English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 10",Blade of the Immortal 10, Secrets,Secrets,Dark Horse Manga,Dark Horse Comics,2011-06-07,nan,nan,nan,2016-10-09,0,9781569717462.jpg,https://books.google.ru/books/content?id=e22NDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781569717462,156971746X,9781569717462,nan,nan,Paperback,nan,232,No,"Anotsu Kagehisa, murderous leader of the rogue Itto-ryu sword school, has journeyed to the mountains far from Edo to the remote Shingyoto-ryu dojo under invitation to bring the sword school under his wing. But instead of a warm welcome, Anotsu finds a dojo full of angry young men who don't want to take orders from an upstart, unless he can prove he's tougher than the best of them! That sits just fine with Anotsu, who has dedicated his life to putting the killing back into Japan's formalize",nan,English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 11. Beasts",Blade of the immortal 11,,Beasts,Dark Horse Manga,nan,2002-12-30,nan,nan,nan,2016-10-09,0,9781569717417.jpg,nan,nan,9781569717417,1569717419,9781569717417,nan,nan,Paperback,nan,192,No,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents` killers.",nan,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 12,Blade of the Immortal 12,,Autumn Frost,Dark Horse Manga,Dark Horse Comics,2016-09-20,nan,nan,nan,2016-10-09,0,9781630088378.jpg,https://books.google.ru/books/content?id=YGuoDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088378,1630088374,9781569719916,nan,nan,,nan,232,No,,"You'd think that Manji, the immortal swordsman, would have dispatched just about every sinister personality in feudal Japan on his mission to slay a thousand evil men. But instead of thinning out the vicious herd, he's only shaken loose the most vicious and depraved. Now, Manji and his pal Magatsu are on the trail of one of the baddest apples in the barrel, Shira, old enemy of Manji -- and a one-handed enemy, courtesy of the immortal's blade. But while Manji and Magatsu are hunting Shira, the crafty killer has hired a pack of hunters of his own, and if he can't kill Manji, he's hoping for the next best thing: to cut Manji to pieces on a daily basis. Collecting issues#73-#80 of the ongoing series. end .product-description",English,en
Hiroaki Samura,"Hiroaki Samura, Dana Lewis, Toren Smith","Blade of the Immortal, Vol. 13",Blade of the Immortal 13, Mirror of the Soul,Mirror of the Soul,Dark Horse,Dark Horse Manga,2004-08-31,nan,nan,nan,2016-10-09,0,9781593072186.jpg,https://books.google.ru/books/content?id=UKqIPgAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781593072186,159307218X,9781593072186,nan,nan,Paperback,nan,256,No,"Although master swordsman Anotsu Kagehisa rests for a moment to wed the daughter of the master of another dojo, his enemies never rest, including Rin, who has stalked him for years to take revenge for the murder of her parents. Original.","Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 14,Blade of the immortal 14,,Last Blood,Dark Horse Manga,nan,2016-11-02,nan,nan,nan,2016-10-09,0,9781630088392.jpg,https://books.google.ru/books/content?id=y4znAAAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088392,1630088390,9781593073213,nan,nan,,nan,256,No,,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,Hiroaki Samura,"Blade of the Immortal, Vol. 15",Blade of the immortal 15, Trickster,Trickster,Dark Horse Manga,nan,2006-02-28,nan,nan,nan,2016-10-09,0,9781593074685.jpg,nan,nan,9781593074685,1593074689,9781593074685,nan,nan,Paperback,nan,224,No,"Kidnapped and bound by three Itto-ry\ warriors, Rin is unable to warn her bodyguard Manji, the immortal swordsman, that he`s heading into a trap. To make matters worse, the Itto-ry\ possess a large dose of kessen-satsu, the only poison known to damage Manji`s blood and severely cripple his regenerative abilities. And is Mugai-ry\ assassin Giichi following Manji in order to help rescue Rin... or will he just stick around long enough to finish off any survivors?",nan,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 16,Blade of the Immortal 16, Shortcut,Shortcut,Dark Horse Manga,nan,2018-08-15,nan,nan,nan,2016-10-09,0,9781630088415.jpg,https://books.google.ru/books/content?id=C6LpAQAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088415,1630088412,9781593077235,nan,nan,,nan,200,No,,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 17,Blade of the immortal 17, On the Perfection of Anatomy,On the Perfection of Anatomy,Dark Horse Manga,nan,2018-08-15,nan,nan,nan,2016-10-09,0,9781630088422.jpg,nan,nan,9781630088422,1630088420,9781593077822,nan,nan,,nan,184,No,,nan,English,en
Hiroaki Samura,Hiroaki Samura,Blade of the Immortal Volume 18,Blade of the Immortal 18, The Sparrow Net: Sparrow Net v. 18,The Sparrow Net,Dark Horse Manga,nan,2018-08-15,nan,nan,nan,2016-10-09,0,9781630088439.jpg,https://books.google.ru/books/content?id=QgxcHwAACAAJ&printsec=frontcover&img=1&source=gbs_api,Comics & Graphic Novels,9781630088439,1630088439,9781593078713,nan,nan,,nan,280,No,,"Manji, a ronin warrior of feudal Japan, has been cursed with immortality and to rid his eternal suffering and lift the curse, he must slay one thousand enemies, and his quest begins with a young girl who seeks revenge on her parents' killers.",English,en
