author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn-13,isbn-10,description
Brian W. Aldiss,Gråskägg,,,,,,1990.0,,,Legenda,placeholder.png,,,9789158215696.0,,
C.S. Lewis,"Caspian, Prins Av Narnia",Berättelsen Om Narnia 4,,,,,1991.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519469.0,,
C.S. Lewis,Den Sista Striden,Berättelsen Om Narnia 7,,,,,1991.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519506.0,,
C.S. Lewis,Hästen Och Hans Pojke,Berättelsen Om Narnia 3,,,,,1991.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519452.0,,
C.S. Lewis,Häxan Och Lejonet,Berättelsen Om Narnia 2,,,,,1994.0,Hardcover,,Bonnier Carlsen,placeholder.png,,,9789163831409.0,,
C.S. Lewis,Kung Caspian Och Skeppet Gryningen,Berättelsen Om Narnia 5,,,,,1991.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519476.0,,
C.S. Lewis,Min Morbror Trollkarlen,Berättelsen Om Narnia 1,,,,,1991.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519421.0,,
C.S. Lewis,Perelandra,,,,,,1981.0,,,Delta,placeholder.png,,,9789172282773.0,,
C.S. Lewis,Silvertronen,Berättelsen Om Narnia 6,,,,,1991.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519490.0,,
C.S. Lewis,Utflykt Från Tyst Planet,,,,,,1979.0,,,Delta,placeholder.png,,,9789172282261.0,,
C.S. Lewis,Vredens Tid,,,,,,1993.0,,,Libris,placeholder.png,,,9789171948922.0,,
Carl Sagan,Kontakt,,,,,,1988.0,Paperback,,Månpocket,placeholder.png,,,9789176423899.0,,
Charles Grant,De Osynliga,,,,,,1996.0,,,Raben Prisma,placeholder.png,,,9789151829760.0,,
Charles Grant,Dödlig Vind,,,,,,1996.0,,,Raben Prisma,placeholder.png,,,,915182972X,
Clifford D. Simak,Websters Värld,,,,,,1978.0,,,Delta,placeholder.png,,,9789172281592.0,,
Clive Cussler,Isstaden,,Atlantis Found,,,,2002.0,Hardcover,,Bonnier,placeholder.png,,,9789143022780.0,,
Colin Forbes,England I Dödlig Fara,,,,,,2000.0,,,Bonnierförlagen,placeholder.png,,,9789143022353.0,,
Craig Russell,Blodörn,,,,,,2007.0,,,Bonnierförlagen,placeholder.png,,,9789143024937.0,,
Cynthia Voigt,Jackaroo,,,,,,1992.0,Hardcover,,Bonniers juniorförlag,placeholder.png,,,9789148519872.0,,
Cynthia Voigt,Lyckans Hjul,,,,,,1992.0,,,Bonniers juniorförlag,placeholder.png,,,9789148519940.0,,
Cynthia Voigt,På Falkens Vingar,,,,,,1997.0,,,Bonnier Carlsen,placeholder.png,,,9789163833977.0,,
Dan Brown,Begynnelse,,,,,,,,,,placeholder.png,,,9789100173036.0,,
Dan Brown,Da Vinci-Koden,,The Da Vinci Code,,,,2003.0,Hardcover,,Bonnier,placeholder.png,,,9789100102975.0,,
Dan Brown,Den Förlorade Symbolen,,The Lost Symbol,,,,2009.0,Hardcover,,Albert Bonniers Förlag,placeholder.png,,,9789100106461.0,,
Dan Brown,Gåtornas Palats,,Digital Fortress,,,,2006.0,Hardcover,,Bonnier,placeholder.png,,,9789100107161.0,,
Dan Brown,I Cirkelns Mitt,,Deception Point,,,,2005.0,Hardcover,,Bonnier,placeholder.png,,,9789100106065.0,,
Dan Brown,Inferno,,Inferno,,,,2013.0,Hardcover,,Albert Bonniers F,placeholder.png,,,9789100137410.0,,
Dan Brown,Änglar Och Demoner,,Angels & Demons,,,,2005.0,Hardcover,,Bonnier,placeholder.png,,,9789100105020.0,,
Dashiell Hammett,Glasnyckeln,,,,,,1997.0,,,Norstedt,placeholder.png,,,9789119721525.0,,
Dashiell Hammett,Riddarfalken Från Malta,,,,,,1996.0,,,Norstedt,placeholder.png,,,9789119701121.0,,
Dave Duncan,Det Magiska Fönstret,Bok 1,Magic Casement,Part One of A Man of His Sword,,,1997.0,Hardcover,,Bonnier,placeholder.png,,,9789100565411.0,,
Dave Duncan,Faerie-Den Magiska Ön,Bok 2,Faery Lands Forlorn,Part Two of A Man of His Sword,,,1998.0,Hardcover,,A. Bonnier,placeholder.png,,,9789100566791.0,,
David Brin,Vid Stjärnhavets Strand,,Startide Rising,,,,1990.0,Hardcover,,Wiken,placeholder.png,,,,9170246912,
David Eddings,Aldurs Dal,Belgarath Besvärjaren - 1,Belgarath the Sorcerer,,,,1996.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321016.0,,
David Eddings,Belgaraths Dotter,Polgara Besvärjerskan - 1,Polgara the Sorceress,,,,2002.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132323591.0,,
David Eddings,Belgarions Son,Sagan Om Mallorea - 1,Book One Of The Malloreon,Guardians of The West,,,1993.0,,,B. Wahlström,placeholder.png,,,9789132317415.0,,
David Eddings,Besvärjarnas Kamp,Sagan Om Belgarion - 3,Book Three Of The Belgarad,Magician's Gambit,,,1991.0,,,B. Wahlström,placeholder.png,,,9789132315671.0,,
David Eddings,De Skinande,Sagan Om Tamuli - 2,Book Two Of The Tamuli,The Shining,,,1998.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132322389.0,,
David Eddings,De Utvalda,Tjuven Althalus Första Boken,,,,,2004.0,Paperback,,B. Wahlström,placeholder.png,,,9789132434440.0,,
