author,title,sub_title,org_title,org_sub_title,volume,publication_date,org_publication_year,print_format,pages,publisher,cover,language,language_iso,isbn-13,isbn-10,description
Katharine Kerr,Elddraken,Elfte boken om det magiska landet Deverry,,,,,2001.0,Hardcover,,Bonnier,placeholder.png,,,9789100573348.0,,
Katharine Kerr,Guldfalken,Tolfte boken om det magiska landet Deverry,,,,,2006.0,Hardcover,,Bonnier,placeholder.png,,,9789100103026.0,,
Katharine Kerr,Häxvargen,Fjärde boken om det magiska landet Deverry,,,,,1996.0,Hardcover,,Bonnier,placeholder.png,,,9789100563066.0,,
Katharine Kerr,Hökvingar,Sjunde boken om det magiska landet Deverry,,,,,1998.0,Hardcover,,Bonnier,placeholder.png,,,9789100565657.0,,
Katharine Kerr,Järtecken,Sjätte boken om det magiska landet Deverry,,,,,1997.0,Hardcover,,Bonnier,placeholder.png,,,9789100565237.0,,
Katharine Kerr,Korptider,Åttonde boken om det magiska landet Deverry,,,,,1998.0,Hardcover,,Bonnier,placeholder.png,,,9789100565664.0,,
Katharine Kerr,Safirringen,Andra boken om det magiska landet Deverry,,,,,1995.0,Hardcover,,Bonnier,placeholder.png,,,9789100560720.0,,
Katharine Kerr,Silverdolken,Första boken om det magiska landet Deverry,,,,,1995.0,Hardcover,,Bonnier,placeholder.png,,,9789100559502.0,,
Katharine Kerr,Storkonungen,Nionde boken om det magiska landet Deverry,,,,,1999.0,Hardcover,,Bonnier,placeholder.png,,,9789100568931.0,,
Kazuo Ishiguro,Konstnär I Den Flytande Världen,,,,,,1987.0,,,Viva,placeholder.png,,,9789161401598.0,,
Ken Follett,Dödlig Strid,,,,,,2005.0,,,Bonnier,placeholder.png,,,9789100107758.0,,
Ken Follett,En Värld Utan Slut,,,,,,2008.0,Hardcover,,Bonnier,placeholder.png,,,9789100120399.0,,
Ken Follett,Svarta Fåglar,,,,,,2002.0,,,Bonnierförlagen,placeholder.png,,,9789143022810.0,,
Ken Follett,Svärdet Och Spiran,Stormarnas Tid & Maktens Skördar,,,,,1992.0,Hardcover,,Bonnier,placeholder.png,,,9789100555153.0,,
Kerstin Ekman,Den Brinnande Ugnen,,,,,,2002.0,,,Bonnier,placeholder.png,,,9789100579036.0,,
Kevin J. Anderson,Arkiv X: Ruiner,,,,,,1997.0,Hardcover,,Raben Prisma,placeholder.png,,,9789151831213.0,,
Kevin J. Anderson,Nollpunkt,,,,,,1996.0,,,Raben Prisma,placeholder.png,,,9789151830605.0,,
Kjerstin Göransson-Ljungman,"Tjugosju Sekundmeter, Snö",,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100574932.0,,
Konfucius,Konfucius Lilla Röda,,,,,,1987.0,,,Asplund,placeholder.png,,,9789151820958.0,,
L.E. Modesitt Jr,Den Magiske Ingenjören,Del 1: Sökarna,,,,,2009.0,Hardcover,,Damm,placeholder.png,,,9789173515504.0,,
L.E. Modesitt Jr,Den Magiske Ingenjören,Del 2: Kraftmätningen,The Magic Engineer,,,,2009.0,Hardcover,,Damm,placeholder.png,,,9789173515719.0,,
L.E. Modesitt Jr,Lärlingstid,Ordningens Magi 1,,,,,2007.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132333811.0,,
L.E. Modesitt Jr,Mästarprov,Ordningens Magi 2,,,,,2007.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132333835.0,,
L.E. Modesitt Jr,Tornen I Solnedgången,Del 1: Stormmagiker,,,,,2008.0,Hardcover,,Damm,placeholder.png,,,9789173513753.0,,
L.E. Modesitt Jr,Tornen I Solnedgången,Del 2: Slaget Om Sörland,,,,,2009.0,Hardcover,,Damm,placeholder.png,,,9789173513746.0,,
Lasse Wierup,Svensk Maffia,en kartläggning av de kriminella gängen,,,,,2008.0,Paperback,,Norstedt,placeholder.png,,,9789113020334.0,,
Lasse Wierup,Svensk Maffia,fortsättningen,,,,,2011.0,Paperback,,Månpocket,placeholder.png,,,9789172322417.0,,
Laurie R. King,Det Monstruösa Kvinnoregementet,,,,,,1997.0,Hardcover,,Rabén Prisma/Arleskär,placeholder.png,,,9789151830575.0,,
Laurie R. King,En Helig Dåre,,,,,,1996.0,,,Rab,placeholder.png,,,9789151829586.0,,
Laurie R. King,Farlig Begåvning,,,,,,1995.0,,,tiden,placeholder.png,,,9789155042004.0,,
Laurie R. King,Med Barn,,,,,,1997.0,,,Rabén Prisma/Arleskär,placeholder.png,,,9789151831664.0,,
Leif G.W. Persson,Faller Fritt Som I En Dröm,en roman om ett brott,,,,,2007.0,Hardcover,,Bonnier,placeholder.png,,,9789100116330.0,,
Leif G.W. Persson,Grisfesten,,,,,,2004.0,,,Bonnierf,placeholder.png,,,9789143023220.0,,
Leif G.W. Persson,Mellan Sommarens Längtan Och Vinterns Köld,,,,,,2008.0,,,Bonnier,placeholder.png,,,9789100119607.0,,
Leif G.W. Persson,Profitörerna,,,,,,2003.0,,,Piratforl.,placeholder.png,,,9789164200945.0,,
Lennart Lidfors,Gåvan Från Stjärnorna,,,,,,1991.0,,,FORUM,placeholder.png,,,9789137100234.0,,
Lian Hearn,Och Himlens Vida Väv,,,,,,2007.0,,,Bonnier Carlsen,placeholder.png,,,9789163854880.0,,
Lian Hearn,På Kudde Av Gräs,,,,,,2003.0,,,Bonnier Carlsen,placeholder.png,,,9789163837272.0,,
Lian Hearn,Under Lysande Måne,,,,,,2004.0,,,Bonnier Carlsen,placeholder.png,,,9789163837432.0,,
Lian Hearn,Vid Hägerns Skarpa Skri,,,,,,2006.0,,,Bonnier Carlsen,placeholder.png,,,9789163853692.0,,
Lian Hearn,Över Näktergalens Golv,,,,,,2003.0,,,Bonnier Carlsen,placeholder.png,,,9789163826375.0,,
Maggie Furey,Aurian,Magikerns Saga 1,,,,,1995.0,Hardcover,,Richter,placeholder.png,,,9789177051268.0,,
Maggie Furey,Aurians Flykt,Magikerns Saga 2,,,,,1995.0,,,Richter,placeholder.png,,,9789177051503.0,,
Maggie Furey,Dhiammara,Magikerns Saga 8,,,,,1997.0,,,Richter,placeholder.png,,,9789177051626.0,,
Maggie Furey,Eldens Svärd,Magikerns Saga 6,,,,,1997.0,,,Richter,placeholder.png,,,9789177051589.0,,
Maggie Furey,I Fjärran Land,Magikerns Saga 5,,,,,1996.0,,,Richter,placeholder.png,,,9789177051565.0,,
Maggie Furey,Jordens Stav,Magikerns Saga 3,,,,,1996.0,,,Richter,placeholder.png,,,9789177051527.0,,
Maggie Furey,Vindens Harpa,Magikerns Saga 4,,,,,1996.0,,,Richter,placeholder.png,,,9789177051541.0,,
Maggie Furey,Återfödelsens Kittel,Magikerns Saga 7,,,,,1997.0,,,Richter,placeholder.png,,,9789177051602.0,,
"Maj Sjöwall, Per Wahlöö",Den vedervärdige mannen från Säffle,,,,,,,,,,placeholder.png,,,9789175790817.0,,
Margaret Weis; Tracy Hickman,Alvstjärna,Dödens Port 2,,,,,1997.0,Hardcover,,Bonnier,placeholder.png,,,9789100563585.0,,
Margaret Weis; Tracy Hickman,Den Grå Diamanten,Draksommar 1,,,,,2004.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132329692.0,,
Margaret Weis; Tracy Hickman,Drakarnas Natt,Draklanskrönikan 2,,,,,1998.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132322402.0,,
Margaret Weis; Tracy Hickman,Drakvingar,Dödens Port 1,,,,,1997.0,Hardcover,,Bonnier,placeholder.png,,,9789100563578.0,,
Margaret Weis; Tracy Hickman,Drakvinter,Draklanskrönikan 3,,,,,1998.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132322815.0,,
Margaret Weis; Tracy Hickman,Drakvår,Draklanskrönikan 5,,,,,1999.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132323751.0,,
Margaret Weis; Tracy Hickman,Eldhav,Dödens Port 3,,,,,1998.0,Hardcover,,Bonnier,placeholder.png,,,9789100563592.0,,
Margaret Weis; Tracy Hickman,Hoppets Drakar,Draklanskrönikan 4,,,,,1999.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132323744.0,,
Margaret Weis; Tracy Hickman,Höstmörkrets Drakar,Draklanskrönikan 1,,,,,1997.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321658.0,,
Margaret Weis; Tracy Hickman,Kaos Hämnd,Draksommar 3,,,,,2004.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132329876.0,,
Margaret Weis; Tracy Hickman,Ormmagi,Dödens Port 4,,,,,1998.0,Hardcover,,Bonnier,placeholder.png,,,9789100566807.0,,
Margaret Weis; Tracy Hickman,Resan Mot Tidens Slut,Den Fallna Solens Drakar 3,,,,,2005.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332098.0,,
Margaret Weis; Tracy Hickman,Silvanestis Härskare,Den Fallna Solens Drakar 2,,,,,2005.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132331732.0,,
Margaret Weis; Tracy Hickman,Storm Över Ansalon,Den Fallna Solens Drakar 1,,,,,2005.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132331343.0,,
Margaret Weis; Tracy Hickman,Tempelstaden,Draklanslegenderna 2,,,,,2001.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132326127.0,,
Margaret Weis; Tracy Hickman,Tidens Härskare,Draklanslegenderna 3,,,,,2002.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132326820.0,,
Margaret Weis; Tracy Hickman,Trolldomsmästarens Återkomst,Draksommar 2,,,,,2004.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132329869.0,,
Margaret Weis; Tracy Hickman,Tvillingarnas Krig,Draklanslegenderna 4,,,,,2002.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132326837.0,,
Margaret Weis; Tracy Hickman,Tvillingarnas Sista Prövning,Draklanslegenderna 5,,,,,2003.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132327766.0,,
Margaret Weis; Tracy Hickman,Tvillingarnas Tidevarv,Draklanslegenderna 1,,,,,2000.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132324840.0,,
Mario Puzo,Gudfadern,,,,,,1991.0,,,PAN/Norstedt,placeholder.png,,,9789119121219.0,,
Mario Puzo,Hasard,,,,,,1985.0,,,Norstedt,placeholder.png,,,9789118522116.0,,
Mario Puzo,Last Don,,,,,,1997.0,Paperback,,Arrow,placeholder.png,,,9780749310905.0,,
Mario Puzo,Sicilianaren,,,,,,1985.0,Hardcover,,Norstedt,placeholder.png,,,,,
Marion Zimmer Bradley,Albions Skogar,Sagan Om Avalon,,,,,1997.0,Hardcover,,Raben Prisma,placeholder.png,,,9789151830094.0,,
Marion Zimmer Bradley,Avalons Dimmor,,,,,,1989.0,Softcover,,Norstedt,placeholder.png,,,9789118921315.0,,
Marion Zimmer Bradley,Avalons Härskarinna,Sagan Om Avalon,,,,,1997.0,Hardcover,,Raben Prisma,placeholder.png,,,9789151832340.0,,
Marion Zimmer Bradley,Facklan,,,,,,1992.0,Hardcover,,Bra Böcker,placeholder.png,,,9789171330758.0,,
Marion Zimmer Bradley,Magikerns Dotter,,,,,,1998.0,Hardcover,,Raben Prisma,placeholder.png,,,9789151833255.0,,
Mary Gentle,De Gyllene Häxornas Folk,,,,,,1996.0,,,FORUM,placeholder.png,,,9789137108636.0,,
Masako Togawa,Kvinnojägaren,,,,,,1988.0,Hardcover,,Bergh,placeholder.png,,,9789150209181.0,,
Mervyn Peake,Slottet Gormenghast,,,,,,1996.0,,,PAN/Norstedt,placeholder.png,,,9789119604811.0,,
Mervyn Peake,Titus Rymlingen,,,,,,1996.0,,,PAN/Norstedt,placeholder.png,,,9789119604910.0,,
Mervyn Peake,Titus Tronföljaren,,,,,,1996.0,,,PAN/Norstedt,placeholder.png,,,9789119605016.0,,
Michael Connelly,Blodspår,,,,,,2002.0,,,Pan,placeholder.png,,,9789172633087.0,,
Michael Connelly,Dödens Stad,,City of Bones,,,,2005.0,Hardcover,,Bonnierf,placeholder.png,,,9789143023596.0,,
Michael Connelly,Fallet Avslutat,,The Closers,,,,2006.0,,,Norstedt,placeholder.png,,,9789113015262.0,,
Michael Connelly,Fällan,,The Narrows,,,,2006.0,Softcover,,Pan,placeholder.png,,,9789172637375.0,,
Michael Connelly,I Lagens Limo,,The Lincoln Lawyer,,,,2007.0,Hardcover,,Norstedt,placeholder.png,,,9789113015880.0,,
Michael Connelly,Poeten,,,,,,2001.0,Paperback,,Månpocket,placeholder.png,,,9789176437704.0,,
Michael Connelly,Räven,,Echo Park,,,,2009.0,,,Norstedt,placeholder.png,,,9789113020396.0,,
Michael Connelly,Skuggspel,,,,,,2006.0,,,Pan,placeholder.png,,,9789172636828.0,,
Michael Connelly,Svart Eko,,,,,,2003.0,,,Pan,placeholder.png,,,9789172634534.0,,
Michael Connelly,Svart Is,,,,,,2004.0,,,Pan,placeholder.png,,,9789172634589.0,,
Michael Cox,Mörkrets Väg,,The Meaning of Night,,,,2007.0,Hardcover,,Bonnier,placeholder.png,,,9789100108953.0,,
Michael Ende,Den Oändliga Historien,,,,,,1987.0,,,Bergh,placeholder.png,,,9789150208443.0,,
Michael Moorcock,En Främmande Hetta,,,,,,1979.0,Hardcover,,Delta,placeholder.png,,,9789172282018.0,,
Michael Moorcock,Landet Bortom Tiden,,,,,,1984.0,Hardcover,,Delta,placeholder.png,,,9789172283404.0,,
Michail Afanasevic Bulgakov,Mästaren Och Margarita,,,,,,1991.0,,,PAN/Norstedt,placeholder.png,,,9789119128515.0,,
Michail Bulgakov,Det Vita Gardet,,B�laja Gvardija,,,,1989.0,Hardcover,,Norstedts,placeholder.png,,,,9118913520,
Neil Gaiman,Amerikanska Gudar,,,,,,2003.0,,,FORUM,placeholder.png,,,9789137122274.0,,
Neil Gaiman,Neverwhere,,,,,,1998.0,,,FORUM,placeholder.png,,,9789137111476.0,,
Neil Gaiman,Stjärnstoft,,,,,,2000.0,,,B. Wahlström,placeholder.png,,,9789132325410.0,,
Nelson DeMille; Lillemor Binett,Tre Kan Bevara En Hemlighet...,...Om Två Av Dem Är Döda,Plum Island,,,,1998.0,Hardcover,,Bonnierförlagen,placeholder.png,,,9789143021684.0,,
Niklas Krog,Den Stora Fredens Krig,,,,,,2004.0,,,Raben & Sjogren,placeholder.png,,,9789129661583.0,,
Niklas Krog,En Härskares Själ,,,,,,2001.0,,,Raben & Sjögren,placeholder.png,,,9789129648485.0,,
Niklas Krog,En Krigares Hjärta,,,,,,1999.0,,,Raben & Sjögren,placeholder.png,,,9789129646351.0,,
Niklas Krog,En Magikers Styrka,,,,,,1999.0,,,Raben & Sjogren,placeholder.png,,,9789129646467.0,,
Niklas Krog,Krigarens Väg,,,,,,2007.0,,,Raben & Sjogren,placeholder.png,,,9789129666953.0,,
Nikolai Perumov,Nekromantikerns Ensamhet 1,Svärdens Väktare 6,,,,,2011.0,Paperback,,Coltso,placeholder.png,,,9789186437350.0,,
Nikolai Perumov,Nekromantikerns Ensamhet 2,Svärdens Väktare 7,,,,,2012.0,Paperback,,Coltso,placeholder.png,,,9789186437671.0,,
Nikolai Perumov,Nekromantikerns Krig 1 Debut,Svärdens Väktare 8,,,,,2013.0,Paperback,,Coltso,placeholder.png,,,9789187219375.0,,
Nikolai Perumov,Nekromantikerns Krig 2,Svärdens Väktare 9,,,,,2014.0,Paperback,,Coltso,placeholder.png,,,9789187219849.0,,
Nikolai Perumov,Nekromantikerns Krig 3,Svärdens Väktare 10,,,,,2015.0,,,,placeholder.png,,,,,
Nikolai Perumov,Nekromantikerns Krig 4 - Final,Svärdens Väktare 11,,,,,,pocket,,,placeholder.png,,,9789187893124.0,,
Nikolai Perumov,Nekromantikerns Krig 5 Final,Svärdens Väktare 12,,,,,,,,,placeholder.png,,,9789187893155.0,,
Nikolai Perumov,Svarta lansen,Mörkrets Ring 2,,,,,2014.0,,,,placeholder.png,,,9789187893063.0,,
Nikolaj Danilovic Perumov,Alvklingan,Mörkrets Ring 1,,,,,2011.0,,,Coltso,placeholder.png,,,9789186437381.0,,
Nikolaj Danilovic Perumov,Diamantsvärdet Och Träsvärdet 2,Svärdens Väktare 2,,,,,2009.0,Paperback,,Ersatz,placeholder.png,,,9789186437015.0,,
Nikolaj Danilovic Perumov,Diamantsvärdet Och Träsvårdet 1,Svärdens Väktare 1,,,,,2009.0,Paperback,,Ersatz,placeholder.png,,,9789186437008.0,,
Nikolaj Danilovic Perumov,Nekromantikerns Flykt,Svärdens Väktare 5,,,,,2009.0,Paperback,,Ersatz,placeholder.png,,,9789186437046.0,,
Nikolaj Danilovic Perumov,Nekromantikerns Födelse,Svärdens Väktare 3,,,,,2009.0,Paperback,,Ersatz,placeholder.png,,,9789186437022.0,,
Nikolaj Danilovic Perumov,Nekromantikerns Irrfärder,Svärdens Väktare 4,,,,,2009.0,Paperback,,Ersatz,placeholder.png,,,9789186437039.0,,
Norman Mailer,De Nakna Och De Döda,,,,,,1987.0,,,Bonnier,placeholder.png,,,9789100472887.0,,
Norman Mailer,Patrioten,,,,,,1994.0,,,Natur och kultur,placeholder.png,,,9789127032255.0,,
Olaf Stapledon,Stjärnskaparen,,,,,,1978.0,,,Delta,placeholder.png,,,9789172281844.0,,
Orson Scott Card,Alvin Gesällen,,Alvin Journeyman,,,,1997.0,Hardcover,,Bonnier,placeholder.png,,,,9100564230,
Orson Scott Card,Alvin Lärlingen,,Prentice Alvin,,,,1996.0,Hardcover,,Bonnier,placeholder.png,,,,9100563072,
Orson Scott Card,Enders Spel,,,,,,1998.0,Paperback,,Bra Böcker,placeholder.png,,,9789171334121.0,,
Orson Scott Card,Profeten,,Red Prophet,,,,1996.0,Hardcover,,Bonnier,placeholder.png,,,9789100562397.0,,
Orson Scott Card,Sjunde Sonen,,Seventh Son,,,,1995.0,Hardcover,,Bonnier,placeholder.png,,,9789100559731.0,,
Patricia A. McKillip,Besvärjerskan Och Svanen,,,,,,1997.0,,,B. Wahlström,placeholder.png,,,9789132321375.0,,
Patricia A. McKillip,Dotter Till Eld Och Hav,Stjärnbäraren Från Hed 2,,,,,1995.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132319914.0,,
Patricia A. McKillip,Gåtmästaren,Stjärnbäraren Från Hed 1,,,,,1995.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132319402.0,,
Patricia A. McKillip,Harpospel I Vinden,Stjärnbäraren Från Hed 3,,,,,1996.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132320590.0,,
Patricia A. McKillip,Svanen Och Eldfågeln,,,,,,1998.0,,,B. Wahlström,placeholder.png,,,9789132322396.0,,
Patricia D. Cornwell,Indicier,,Body of evidence,,,,1999.0,Hardcover,,PAN/Norstedt,placeholder.png,,,9789172630222.0,,
Patrick Rothfuss,En Vis Mans Fruktan Del 1,"Berättelsen Om Kungadråparen, Dag 2",The Wise Man's Fear,,,,2011.0,,,Damm,placeholder.png,,,9789173517744.0,,
Patrick Rothfuss,En Vis Mans Fruktan Del 2,"Berättelsen Om Kungadråparen, Dag 2",The Wise Man's Fear,,,,2011.0,,,Damm,placeholder.png,,,9789173517751.0,,
Patrick Rothfuss,Vindens Namn Del 1,,The Name Of The Wind,,,,2011.0,Hardcover,,Damm AB,placeholder.png,,,9789173513791.0,,
Patrick Rothfuss,Vindens Namn Del 2,,,,,,2009.0,Hardcover,,Ponto pocket,placeholder.png,,,9789173514675.0,,
Paul Auster,New York-Trilogin,,,,,,1999.0,,,Månpocket,placeholder.png,,,9789176435663.0,,
Pauline Reage,Berättelsen Om O,,,,,,1991.0,Hardcover,,Norstedt,placeholder.png,,,,9119117620,
Pelle Holmberg,Våra Bästa Svampar,,,,,,1985.0,,,Raben & Sjögren,placeholder.png,,,9789129572438.0,,
Peter May,Svarthuset,,,,,,2013.0,,,Modernista,placeholder.png,,,9789174992885.0,,
Peter Robinson,I Djävulens Sällskap,,Friend Of The Devil,,,,2008.0,Paperback,,Månpocket,placeholder.png,,,9789170016615.0,,
Peter Robinson,Kall Som Graven,,Cold is the grave,,,,2008.0,Hardcover,,Minotaur,placeholder.png,,,9789185283231.0,,
Peter Robinson,Mörkrets Alla Färger,,All the colours of darkness,,,,2009.0,Hardcover,,Minotaur,placeholder.png,,,9789185419043.0,,
Peter Robinson,När musiken tystnar,,,,,,,,,Bokförlaget Forum,9789137148717.jpg,,,9789137148717.0,,"Ny bladvändare med kommissarie Banks En mörk natt kastas en tonårsflicka ut ur en skåpbil mitt i ingenstans efter en gängvåldtäkt. Naken, illa åtgången efter de brutala övergreppen och med svåra fallskador försöker hon ta sig till en gård hon ser i fjärran. Men hon hinner inte långt. En ny bil stannar och hon hoppas få hjälp, men istället blir hon brutalt ihjälslagen på platsen. Mördaren är inte någon av våldtäktsmännen. Det är upptakten till den svåra utredning som leds av Alan Banks kollega Annie Cabbot. Cabbot får hand om fallet tillsammans med den ambitiösa nykomlingen Gerry Masterson, allt under överseende av Alan Banks som nu är kriminalkommissarie. Parallellt med detta tar sig Banks själv motvilligt an en gammal våldtäktsanmälan från 1967. En kvinna som nu är i 60-årsåldern träder fram med anklagelser mot en av dåtidens hyllade TV-personligheter. Trots Banks motvilja mot att ta upp ett så stenkallt gammalt fall går han med på att träffa offret, som idag är en välkänd poet. Och snart är han ändå djupt engagerad i den känsliga sexualbrottsutredningen. Robinsons 15:e bok om Alan Banks är en bladvändare med mörka historier om utsatthet och övergrepp. Översättare: Carla Wiberg, Omslagsformgivare: Fredrik Stjernfeldt"
Peter Straub,Koko,,,,,,1992.0,,,Månpocket,placeholder.png,,,9789176426944.0,,
Philip K. Dick,Mannen I Det Höga Slottet,,The Man in the high Castle,,,,1979.0,Softcover,,Kindberg,placeholder.png,,,9789185668144.0,,
Philip K. Dick,Tidsskredet,,Martian Time-Slip,,,,1979.0,Softcover,,Kindberg,placeholder.png,,,9789185668038.0,,
R.A. Salvatore,När Demonen Vaknar,,,,,,1997.0,,,FORUM,placeholder.png,,,9789137111827.0,,
Ray Bradbury,Den Illustrerade Mannen,,,,,,1986.0,,,Norstedt,placeholder.png,,,9789118620812.0,,
Ray Bradbury,Den Kalla Vinden Och Den Varma,,,,,,1973.0,,,,placeholder.png,,,9789117213411.0,,
Ray Bradbury,Fahrenheit 451,,Fahrenheit 451,,,,1989.0,Hardcover,,Norstedt,placeholder.png,,,,9118913423,
Ray Bradbury,Invasion På Mars,,,,,,1986.0,,,Norstedt,placeholder.png,,,9789118620713.0,,
Ray Bradbury,Oktoberlandet,,,,,,1986.0,,,Norstedt,placeholder.png,,,9789118620614.0,,
Raymond Carver,Grannar,,,,,,1991.0,Hardcover,,,placeholder.png,,,,9120151268,
Raymond Chandler,Långt Farväl,,,,,,2001.0,,,Bonnier,placeholder.png,,,9789100575212.0,,
Raymond E. Feist,Barbaren,Imperiets Dotter 3,Servant Of The Empire,,,,1996.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321061.0,,
Raymond E. Feist,Demonkungens Vrede,Ormkrigskrönikan 3,Rage Of A Demon King,Book Three Of The Serpentwar Saga,,,1999.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132324406.0,,
Raymond E. Feist,Den Galne Gudens Drpm,Ormkrigskrönikan 6,,,,,2001.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132325922.0,,
Raymond E. Feist,Den Mörkaste Av Världar,Bärare Av Ondska 2,Into A Dark Realm,,,,2009.0,Hardcover,,Damm,placeholder.png,,,9789173514668.0,,
Raymond E. Feist,Den Unge Hämnaren,Skuggornas Väktare 2,King Of Foxes,,,,2007.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132334153.0,,
Raymond E. Feist,Det Förbjudna,Imperiets Dotter 6,,,,,1997.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321634.0,,
Raymond E. Feist,Eldprovet,Krondors Söner 3,,,,,2006.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332760.0,,
Raymond E. Feist,En Värld I Aska,Ormkrigskrönikan 5,Shards Of A Broken Crown,Book Four Of The Serpentwar Saga,,,2000.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132324772.0,,
Raymond E. Feist,Gudadråparen,Bärare Av Ondska 3,Wrath Of A Mad God,,,,2010.0,Hardcover,,Damm,placeholder.png,,,9789173516891.0,,
Raymond E. Feist,Hertigen Av Olasko,Skuggornas Väktare 3,Exile's Return,,,,2008.0,Hardcover,,Damm,placeholder.png,,,9789173513081.0,,
Raymond E. Feist,Hökens Budskap,Skuggornas Väktare 1,Talon Of The Silver Hawk,,,,2007.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132334115.0,,
Raymond E. Feist,Kampen Om Livsstenen,Ormkrigskrönikan 4,,,,,2000.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132324734.0,,
Raymond E. Feist,Kaos,Imperiets Dotter 4,,,,,1996.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321078.0,,
Raymond E. Feist,Kungens Pirat,Krondors Söner 2,The King's Buccaneer,,,,2006.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132332173.0,,
Raymond E. Feist,Magi,Imperiets Dotter 5,Mistress Of The Empire,,,,1997.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132321368.0,,
Raymond E. Feist,Magikerns Lärling,Kriget Om Rämnan 1,Magician,,,,2002.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132325939.0,,
Raymond E. Feist,Magins Mästare,Kriget Om Rämnan 3,,,,,2003.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132329227.0,,
Raymond E. Feist,Maktens Hägringar,Ormkrigskrönikan 2,Rise Of A Merchant Prince,Book Two Of The Serpentwar Saga,,,1999.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132323614.0,,
Raymond E. Feist,Maras Hämnd,Imperiets Dotter 2,,,,,1996.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132320248.0,,
Raymond E. Feist,Maras List,Imperiets Dotter 1,Daughter Of The Empire,,,,1996.0,Hardcover,,,placeholder.png,,,9789132320231.0,,
Raymond E. Feist,Mellan Två Världar,Kriget Om Rämnan 2,,,,,2003.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132328398.0,,
Raymond E. Feist,Natthökarnas Flykt,Bärare Av Ondska 1,Flight Of The Nighthawks,,,,2008.0,Hardcover,,Damm,placeholder.png,,,9789173514453.0,,
Raymond E. Feist,Prinsens List,Kriget Om Rämnan 5,A Darkness At Sethanon,,,,2005.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132331350.0,,
Raymond E. Feist,Silvertörne,Kriget Om Rämnan 4,Silverthorne,,,,2004.0,,,B. Wahlström,placeholder.png,,,9789132329814.0,,
Raymond E. Feist,Skuggan Av En Mörk Drottning,Ormkrigskrönikan 1,Shadow Of A Dark Queen,Book One Of The Serpentwar Saga,,,1998.0,Hardcover,,B. Wahlström,placeholder.png,,,,9132322739,
Raymond E. Feist,Slaget Om Sethanon,Kriget Om Rämnan 6,,,,,2005.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132331701.0,,
Raymond E. Feist,Stjärnalvernas Stad,Demonkrigen 1,Rides A Dread Legion,,,,2011.0,Hardcover,,Damm,placeholder.png,,,9789173517713.0,,
Raymond E. Feist,Tronföljaren,Krondors Söner 1,Prince Of The Blood,,,,2005.0,Hardcover,,B. Wahlström,placeholder.png,,,9789132331909.0,,
Raymond Khoury,Den Siste Tempelriddaren,,,,,,2007.0,Softcover,,Norstedts pocket,placeholder.png,,,9789172638181.0,,
Reginald Hill,Dalziels Död,,,,,,2007.0,,,Minotaur,placeholder.png,,,9789185283460.0,,
Reginald Hill,De Dödas Samtal,,,,,,2013.0,,,Minotaur,placeholder.png,,,9789185419760.0,,
Reginald Hill,Främlingars Hus,,,,,,2008.0,,,Minotaur,placeholder.png,,,9789185283712.0,,
