"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"Belgaraths Dotter","Polgara Besvärjerskan - 1","David Eddings","B. Wahlstrm","2002","Polgara the Sorceress","","2016-06-18","0","","","9789132323591","","","Hardcover","No",""
"Belgarions Son","Sagan Om Mallorea - 1","David Eddings","B. Wahlstrom","1993","Book One Of The Malloreon","Guardians of The West","2016-06-18","0","","","9789132317415","","","","Yes",""
"Besvärjarnas Kamp","Sagan Om Belgarion - 3","David Eddings","B. Wahlstrom","1991","Book Three Of The Belgarad","Magician's Gambit","2016-06-18","0","","","9789132315671","","","","Yes",""
"De Skinande","Sagan Om Tamuli - 2","David Eddings","B. Wahlstrm","1998","Book Two Of The Tamuli","The Shining","2016-06-18","0","","","9789132322389","","","Hardcover","Yes",""
"De Utvalda","Tjuven Althalus Första Boken","David Eddings","B. Wahlstrm","2004","","","2016-06-18","0","","","9789132434440","","","Paperback","No",""
"Demonen I Karanda","Sagan Om Mallorea - 3","David Eddings","B. Wahlstrm","1994","Book Three Of The Malloreon","Demon Lord of Karanda","2016-06-18","0","","","9789132318337","","","","Yes",""
"Den Dolda Staden","Sagan Om Tamuli - 3","David Eddings","B. Wahlstrm","1998","Book Three Of The Tamuli","The Hidden City","2016-06-18","0","","","9789132322716","","","Hardcover","Yes",""
"Den Vördade","Drömmarna - 2","David Eddings","B. Wahlstrom","2006","Book Two Of The Dreamers","The Treasured One","2016-06-18","0","","","9789132332142","","","Hardcover","No",""
"Diamanttronen","Sagan Om Elenien - 1","David Eddings","B. Wahlstrm","1994","Book One Of The Elenium","The Diamond Throne","2016-06-18","0","","","9789132318795","","","","Yes",""
"Hertiginnan av Erat","Polgara Besvärjerskan - 2","David Eddings","B. Wahlstrom","1999","Polgara the Sorceress","","2016-06-18","0","","","9789132323607","","","Hardcover","No",""
"I Zandramas Spår","Sagan Om Mallorea - 4","David Eddings","B. Wahlstrom","1994","Book Four Of The Malloreon","Sorceress of Darshiva","2016-06-18","0","","","9789132318801","","","","Yes",""
