"Title","Sub Title","Author","Publisher","Publication Year","Original Title","Original Subtitle","Purchase Date","My rating","Cover","Categories","ISBN","Took","Notes","Format","Read It","Description"
"Batman Vol. 6: Graveyard Shift","","Scott Snyder, James Tynion IV","DC",,"","","2017-04-06","0","https://books.google.com/books/content?id=aDGNBwAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401257538","","","","No","Scott Snyder and Greg Capullo's game-changing run on BATMAN set the comics world on fire with THE COURT OF OWLS, DEATH OF THE FAMILY and ZERO YEAR. Now collected for the first time, come the stories between the stories. In these standalone tales from the beloved series, Batman grieves for a son, infiltrates Arkham Asylum and tracks a serial killer. Spanning from the Zero Year to the future of BATMAN: ETERNAL, these stories expand and enrich the world of one of the most loved series in comics. Joining Snyder and Capullo is an all-star lineup of special guests - including Andy Kubert, Alex Maleev, Andy Clarke, Dustin Nguyen, Wes Craig, James Tynion IV, and Marguerite Bennett! This volume collects BATMAN #0, BATMAN #18-20, #28, #34 and BATMAN ANNUAL #2."
"Batman Vol. 7: Endgame","","Scott Snyder","",,"","","2017-04-06","0","https://books.google.com/books/content?id=OCAhswEACAAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401261160","","","","No","For years, the Joker has regarded Batman with a sick, twisted love, thinking that one could never exist without the other. But that's all changed. Now the Clown Prince of Crime is done playing. He's going to kill Batman. And he's going to do it using those who Batman loves the most: the Justice League. The Joker returns to Gotham City with a deadlier agenda than ever before, using every tool at his disposal to finally kill the Dark Knight. That includes turning Batman's allies against him in the bloodiest brawl that he's ever had to survive. Batman Vol. 7: Endgame is the biggest, boldest story that the #1 New York Times best-selling creative team of Scott Snyder and Greg Capullo have told to date. With an ending you won't believe, this graphic novel is a classic in the making. Collects Batman #35-40."
"Batman Vol. 8: Superheavy","","Scott Snyder","DC",,"","","2017-04-06","0","https://books.google.com/books/content?id=GmZdCwAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401266301","","","","No","The #1 New York Times all-star creative team of Scott Snyder, Greg Capullo and Danny Miki introduce an all-new Dark Knight, with guest appearances by Brian Azzarello (WONDER WOMAN) and Jock (BATMAN: THE BLACK MIRROR). Following the disappearance and presumed death of Batman, former police commissioner Jim Gordon has been called to carry on the Dark KnightÕs legacy and become his successor. But while the name and what it stands for remain the same, this new Batman is far from just a copy of the original. Patrolling the city in a gargantuan high-tech Batsuit, Gordon is no shadowy vigilante. He has the full cooperation of the GCPD and the mayor, plus a multimillion-dollar budget from Powers International. But will an expensive suit be enough to stop the mysterious, weed-like Mr. Bloom before his deadly plans for the city take root? Collects BATMAN #41-45 and DC SNEAK PEEK: BATMAN #1."
"Batman Vol. 9: Bloom","","Scott Snyder","DC Comics",,"","","2017-04-06","0","https://books.google.com/books/content?id=6gbBDAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401269227","","","","No","Scott Snyder and Greg Capullo conclude their #1 NEW YORK TIMES best-selling, critically acclaimed saga. BATMAN RETURNS? Bruce Wayne has a nearly perfect life. He’s in love with an amazing woman and works by her side every day at one of Gotham’s youth centers, helping the children of the city he loves. His memory has been patchy ever since he nearly died in the last Joker attack, but even so, he’s confident that this is the happiest he’s ever been. And yet…he sometimes feels himself being tugged back to another life. In the negative space of his missing past is a half-remembered history, filled with violence and darkness, but also greatness. The Batman is calling Bruce back. But if he returns to his past, what will become of the perfect, happy life he has built? Scott Snyder and Greg Capullo’s character-defining run on the Dark Knight demonstrates why Batman truly is forever. Collects BATMAN #46-50, as well as a short story from DETECTIVE COMICS #27."
"Batman Year Two","The 30th Anniversary Deluxe Edition","Mike W. Barr","",,"","","2018-08-23","0","","","9781401274566","","","","No",""
"Batman: Dark Knight Returns","The Last Crucade Deluxe Edition","Frank Miller","",,"","","2018-08-23","0","","","9781401265069","","","","No",""
"Batman: The Dark Knight Vol. 1","Knight Terrors","Various","DC Comics","2013","","","2016-06-18","0","https://books.google.ru/books/content?id=6fyrAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401237110","","","Hardcover","No","The Dark Knight continues his crusade as defender of Gotham City, taking on his greatest foes during a breakout at Arkham Asylum. But when his enemies gain powers and abilities far beyond their normal capacities, the Caped Crusader's crusade may finally be at an end!"
"Batman: The Dark Knight Vol. 2","Cycle Of Violence","Greg Hurwitz, David Finch","DC Comics","2014","","","2016-06-18","0","https://books.google.ru/books/content?id=9fqrAAAAQBAJ&printsec=frontcover&img=1&source=gbs_api","Comics & Graphic Novels","9781401242824","","","Paperback","No","The Scarecrow has returned to Gotham City, but he's no longer the meek punching bag Batman is used to. The villainous genius has always preyed on the worst fears of his victims, but has refined his legendary fear toxin to even greater effectiveness and deadlier consequences. As the Scarecrow's origin is unfurled, Batman must find out not only how to conquer this dangerous psychopath, but how to beat his own worst fear. Written by New York Times best-selling crime thriller novelist Gregg Hurwitz and art from comics superstar David Finch, BATMAN: THE DARK KNIGHT VOLUME 2: CYCLE OF VIOLENCE is a terrifying look into the dark psyche of one of Gotham's most twisted villains. Collects from BATMAN: THE DARK KNIGHT #10-15 and #0."
"Batman: The Dark Knight Vol. 2","Cycle of Viilence","","",,"","","2017-11-19","0","","","9781401242824","","","","No",""
"Batman: The Dark Knight Vol. 3","Mad","","",,"","","2017-11-19","0","","","9781401246198","","","","No",""
"Batman: The Dark Knight Vol. 4","Clay","","",,"","","2017-11-19","0","","","9781401249304","","","","No",""
"Batman: The Night Of The Owls","","Scott Snyder","DC Comics","2013","","","2016-06-18","0","","","9781401237738","","","Hardcover","No",""
"Battle Angel Alita Volume 1","","Yukito Kishiro","",,"","","2019-10-13","0","","","9781632365989","","","","No",""
"Battle Angel Alita Volume 2","","Yukito Kishiro","",,"","","2019-10-13","0","","","9781632365996","","","","No",""
"Battle Angel Alita Volume 3","","Yukito Kishiro","",,"","","2019-10-13","0","","","9781632366009","","","","No",""
"Battle Angel Alita Volume 4","","Yukito Kishiro","",,"","","2019-10-13","0","","","9781632366016","","","","No",""
"Battle Angel Alita Volume 5","","Yukito Kishiro","",,"","","2019-10-13","0","","","9781632366023","","","","No",""
