author,old_author,title,old_title,sub_title,old_sub_title,publisher,old_publisher,publication_date,old_publication_year,old_original_title,old_original_subtitle,old_purchase_date,old_my_rating,image_name,old_cover,old_categories,isbn-13,isbn-10,old_isbn,old_took,old_notes,format,old_print_format,nof_pages,old_read_it,description,old_description,language,language_iso
,Mike W. Barr,,Batman,,Year Two,,Dc Comics,,,,,2016-10-09,0.0,,,Juvenile Fiction,,,,,,,,,No,,"Batman must create an alliance with his parents' murderer to stop the Reaper, who pursued the criminals of Gotham City a generation earlier with cruel and violent methods.",,
 David Mazzucchelli,"Frank Miller, Bob Kane, David Mazzucchelli, Richmond Lewis",Batman - år ett / text,Batman, Frank Miller ; bild: David Mazzucchelli ; svensk text: Christer Follin och Johan Holmér,År Ett,,,,,,,2016-10-09,0.0,,https://books.google.ru/books/content?id=qGfBNQAACAAJ&printsec=frontcover&img=1&source=gbs_api,,9789151060965.0,9151060965,9789151060965.0,,,,,,No,,,,
Doug Moench,"Doug Moench, Kelley Jones, Malcolm Jones (III.)",Batman & Dracula,Batman & Dracula, Red Rain,Red Rain,DC Comics,,1997-10-01,,,,2016-10-09,0.0,9781563890369.jpg,https://books.google.ru/books/content?id=dFc4nQEACAAJ&printsec=frontcover&img=1&source=gbs_api,"Horror comic books, strips, etc",9781563890369.0,1563890364,9781563890369.0,,,Paperback,,96.0,No,"In this Batman adventure the Dark Knight meets Dracula, the Lord of Darkness, in the horrific battle for the soul of Gotham City.",,English,en
Grant Morrison,Frank Quitely; Grant Morrison; Philip Tan,"Batman & Robin, Vol. 1",Batman & Robin Volume 1, Batman Reborn (Batman & Robin (Paperback)),Batman Reborn,DC Comics,DC Comics,2011-04-05,2011.0,,,2016-06-18,0.0,9781401229870.jpg,,,9781401229870.0,1401229875,9781401229870.0,,,Paperback,Softcover,168.0,No,No Information Available,,English,en
Grant Morrison,Grant Morrison,Batman & Robin Vol. 2 Batman vs. Robin,Batman & Robin Volume 2,,Batman vs. Robin,DC Comics,DC Comics,2011-11-22,2011.0,,,2016-06-18,0.0,9781401232719.jpg,,,9781401232719.0,140123271X,9781401232719.0,,,Paperback,,168.0,No,"Grant Morrison continues his habit of teaming up with A-list, critically acclaimed artists by joining Cameron Stewart (SEVEN SOLDIERS: MANHATTAN GUARDIAN) and Andy Clarke (BATMAN: FACE THE FACE) for the next exciting chapter of the adventures of the new Dynamic Duo!<p>The new Batman and Robin uncover clues involving the mysterious death of Bruce Wayne before facing off against each other in a heated battle instigated by Robin`s mother that both heroes will regret - if they live through it! Featuring a 3-issues storyline that ties into the best-selling BLACKEST NIGHT event titled ""Blackest Knight,"" this new collection is a must-have for both new readers and longtime fans of Grant Morrison`s Batman epic as the superstar writer unveils more of his genre-defying masterplan!</p>",,English,en
Grant Morrison,Grant Morrison,"Batman & Robin, Vol. 3",Batman & Robin Volume 3, Batman & Robin Must Die,Batman Must Die!,DC Comics,DC Comics,2011-05-17,2011.0,,,2016-06-18,0.0,9781401230913.jpg,,,9781401230913.0,1401230911,9781401230913.0,,,Hardcover,Hardcover,168.0,No,"On the eve of Bruce Wayneï¿½s return to Gotham City, the new Batman and Robin team that battled crime during his absence must deal with the return of The Joker.Then, Grant Morrison connects the BATMAN & ROBIN story with the bestselling THE RETURN OF BRUCE WAYNE in the climactic showdown between Batman and The Black Glove.And in a story illustrated by acclaimed artist David Finch, learn what happens to Dick Grayson after the ï¿½realï¿½ Batman returns.",,English,en
Various,Various; J.G. Jones,Batman & Robin,Batman & Robin Volume 4, Dark Knight Vs. White Knight,Dark Knight vs. White Knight,DC Comics,DC Comics,2012-01-31,2012.0,,,2016-06-18,0.0,9781401233730.jpg,,,9781401233730.0,1401233732,9781401233730.0,,,Hardcover,Hardcover,208.0,No,,,English,en
Peter J. Tomasi,Peter Tomasi,Batman and Robin Vol. 1,Batman And Robin Volume 1, Born to Kill (The New 52),Born To Kill,DC Comics,DC Comics,2013-06-11,2012.0,,,2016-06-18,0.0,9781401238384.jpg,,,9781401238384.0,1401238386,9781401238384.0,,,Paperback,,192.0,No,,,English,en
Peter J. Tomasi,Tomasi Peter,"Batman & Robin, Vol. 2",Batman And Robin Volume 2, Pearl (The New 52),Pearl,DC Comics,,2013-06-11,,,,2016-06-18,0.0,9781401240899.jpg,,,9781401240899.0,1401240895,9781401240899.0,,,Hardcover,Hardcover,176.0,No,,,English,en
Peter J. Tomasi,Tomasi Peter,"Batman and Robin, Vol. 3",Batman And Robin Volume 3, Death of the Family (The New 52),Death Of The Family,DC Comics,,2014-06-10,,,,2016-06-18,0.0,9781401246174.jpg,,,9781401246174.0,1401246176,9781401246174.0,,,Paperback,,160.0,No,,,English,en
Peter Tomasi,Tomasi Peter,Batman and Robin Vol. 4,Batman And Robin Volume 4, Requiem for Damian (The New 52) (Batman & Robin Volumes),Requiem For Damian,DC Comics,,2014-06-10,,,,2016-06-18,0.0,9781401252175.jpg,,,9781401252175.0,1401252176,9781401246181.0,,,,Hardcover,176.0,No,,,English,en
Peter J. Tomasi,Peter J. Tomasi,Batman and Robin Vol. 5,Batman and Robin Volume 5, The Big Burn (The New 52),The Big Burn,DC Comics,,2015-06-30,,,,2017-07-14,0.0,9781401253332.jpg,,,9781401253332.0,1401253334,9781401253332.0,,,Paperback,,176.0,No,,,English,en
Peter J. Tomasi,Peter J. Tomasi,Batman And Robin Vol. 6,Batman and Robin Volume 6, The Hunt For Robin (The New 52),The Hunt For Robin,DC Comics,,2015-11-24,,,,2017-07-14,0.0,9781401258009.jpg,,,9781401258009.0,140125800X,9781401258009.0,,,Paperback,,192.0,No,,,English,en
Peter J. Tomasi,Peter J. Tomasi,Batman and Robin Vol. 7,Batman and Robin Volume 7, Robin Rises (The New 52),Robin Rises,DC Comics,,2016-05-10,,,,2017-07-14,0.0,9781401261146.jpg,,,9781401261146.0,1401261140,9781401261146.0,,,Paperback,,240.0,No,,,English,en
,Howard Chaykin,,Batman Houdini,,The Devils Workshop,,,,,,,2016-10-09,0.0,,,,,,761941200958.0,,,,,,No,,,,
Jeph Loeb,"Jeph Loeb, Jim Lee, Scott Williams",Batman,Batman Hush, Hush,,DC Comics,,2009-08-18,,,,2017-07-14,0.0,9781401223175.jpg,,,9781401223175.0,1401223176,9781401223175.0,,,Paperback,,320.0,No,"Written by Jeph Loeb; Art and Cover by Jim Lee and Scott Williams The epic crime thriller that rejuvenated The Caped Crusader is now available in one place as a trade paperback! In this story of murder, mystery and romance, Batman sets out on a simple mission to discover the identity of the mysterious villain wreaking havoc in his life known as Hush. But Batman ends up facing possibly the most intense case of his life as secrets from his past flood into the present, and the most notorious villains to ever haunt Gotham City&apos;s street attack simultaneously! Guest-starring The Dark Knight&apos;s greatest allies and enemies, this collection features BATMAN #608-619 as well as the 6-page segment from Wizard #0 and a 2-page origin story that originally appeared at dccomics.com.",,English,en
Doug Moench,,Batman,Batman Knightfall Volume One," Knightfall, Vol. 1",,DC Comics,,2012-05-01,,,,2018-04-21,0.0,9781401233792.jpg,,,9781401233792.0,1401233791,9781401233792.0,,,Paperback,,640.0,No,,,English,en
Various,,Batman,Batman Knightfall Volume Three," Knightfall, Vol. 3: KnightsEnd",Knightsend,DC Comics,,2012-09-11,,,,2019-08-29,0.0,9781401237219.jpg,,,9781401237219.0,1401237215,9781401237219.0,,,Paperback,,652.0,No,,,English,en
Chuck Dixon,,Batman,Batman Knightfall Volume Two," Knightfall, Vol. 2: Knightquest",Knightquest,DC Comics,,2012-05-29,,,,2018-04-21,0.0,9781401235369.jpg,,,9781401235369.0,1401235360,9781401235369.0,,,Paperback,,656.0,No,,,English,en
Chuck Dixon,,Batman,Batman Legacy Volume One, Legacy Vol. 1,,DC Comics,,2017-04-11,,,,2018-12-16,0.0,9781401272029.jpg,,,9781401272029.0,1401272029,9781401272029.0,,,Paperback,,264.0,No,,,English,en
Chuck Dixon,,Batman,Batman Legacy Volume Two, Legacy Vol. 2,,DC Comics,,2018-02-20,,,,2018-12-16,0.0,9781401277611.jpg,,,9781401277611.0,1401277616,9781401277611.0,,,Paperback,,296.0,No,,,English,en
Frank Miller,,Batman,Batman The Dark Knight, The Dark Knight: Master Race,Master Race,DC Comics,,2017-09-19,,,,2017-11-19,0.0,9781401265137.jpg,,,9781401265137.0,1401265138,9781401265137.0,,,Hardcover,,376.0,No,,,English,en
